Question_ID,Answer_ID,Prediction_ID
0,2,1
4,2,1
11,3,3
12,4,4
14,2,2
19,2,2
23,4,2
29,2,2
37,3,2
41,4,4
42,3,3
45,1,1
46,3,3
49,5,3
53,3,2
60,2,2
70,2,2
73,4,2
74,1,2
76,3,3
80,3,2
87,5,1
96,2,2
100,1,1
101,2,1
108,4,1
111,4,3
121,2,3
123,1,3
135,5,5
140,2,2
141,5,4
143,4,2
146,3,1
149,4,1
152,1,1
159,5,2
173,1,1
179,2,2
184,4,4
185,2,1
187,3,3
188,4,4
191,1,2
194,3,5
195,4,3
198,5,3
203,1,5
206,1,1
216,4,1
225,2,3
233,1,2
244,4,4
249,1,1
257,3,1
268,2,3
279,3,3
281,3,3
282,3,1
289,5,2
290,3,2
296,3,3
303,4,4
313,1,1
316,2,1
318,3,3
319,4,3
325,2,1
338,1,1
360,2,2
366,4,2
368,5,5
383,4,4
384,3,2
388,2,1
398,1,2
405,1,2
408,3,2
414,3,3
417,4,3
419,1,3
437,4,4
441,1,1
449,4,4
454,1,5
456,3,3
463,3,3
468,1,3
470,1,1
475,1,3
478,3,3
483,3,1
499,1,1
506,4,2
530,4,4
539,1,1
540,5,2
548,1,1
552,1,1
558,1,4
563,5,1
564,3,2
566,3,3
577,2,2
589,1,1
596,2,2
604,3,3
609,3,1
619,1,3
621,4,4
628,1,5
631,4,1
634,5,1
636,3,1
638,1,1
643,4,4
644,4,2
646,4,4
647,1,4
648,4,1
649,1,3
652,4,2
654,5,3
658,2,2
669,2,2
671,4,4
674,3,3
681,1,4
688,2,1
702,2,1
710,3,2
715,4,2
716,1,1
717,1,2
721,1,1
731,2,3
754,1,2
761,5,3
763,3,3
767,1,1
773,4,4
797,4,5
799,1,1
812,1,2
813,5,5
815,5,3
818,2,2
823,2,2
824,3,2
832,5,5
835,5,4
836,1,2
849,3,1
855,1,1
856,3,2
863,3,1
875,2,2
886,3,3
888,1,3
890,2,1
892,1,1
900,4,4
913,4,2
917,2,2
921,4,4
923,4,1
929,2,2
934,1,1
941,2,2
943,2,1
946,2,1
955,4,1
962,2,2
976,1,3
979,1,1
986,5,2
990,5,5
1005,2,2
1014,4,1
1016,5,1
1019,3,3
1025,2,3
1029,1,3
1030,3,3
1032,1,1
1036,1,1
1037,2,1
1043,1,1
1044,2,4
1054,5,2
1065,2,3
1066,4,1
1067,1,1
1078,5,5
1083,2,1
1095,5,1
1096,3,3
1099,3,1
1101,3,3
1104,3,3
1110,3,3
1112,1,2
1119,2,1
1123,4,2
1134,3,3
1143,5,2
1144,1,1
1148,1,1
1160,2,1
1161,2,1
1166,3,2
1170,2,2
1173,3,3
1174,2,2
1176,5,5
1184,3,2
1185,1,1
1189,4,4
1191,3,3
1196,5,2
1207,3,2
1210,2,3
1211,3,1
1215,3,3
1217,4,4
1226,2,1
1228,5,5
1241,5,1
1246,2,2
1248,2,1
1253,3,3
1254,4,4
1258,4,1
1264,1,1
1274,3,1
1283,2,2
1287,5,1
1288,2,2
1299,1,2
1310,1,1
1311,1,2
1312,2,2
1318,5,5
1321,1,2
1331,3,1
1343,2,2
1345,3,1
1348,2,2
1355,4,2
1358,4,2
1361,2,2
1370,4,1
1375,4,1
1379,4,4
1380,2,2
1383,2,2
1387,2,2
1389,1,3
1391,2,3
1395,4,1
1397,3,1
1399,2,2
1400,5,5
1411,1,3
1425,4,2
1426,2,3
1433,1,1
1445,4,1
1449,1,1
1458,1,1
1459,2,4
1461,2,2
1463,3,3
1473,2,2
1476,3,1
1479,4,4
1480,2,2
1495,1,1
1497,3,3
1503,2,2
1508,2,1
1512,5,4
1524,2,1
1532,1,1
1538,5,3
1542,4,4
1543,4,2
1545,3,4
1550,1,5
1562,2,2
1566,3,2
1573,4,1
1574,1,3
1580,2,1
1581,1,2
1583,1,1
1595,1,4
1599,1,1
1609,1,3
1614,4,1
1622,3,3
1640,5,1
1641,1,2
1644,2,1
1647,4,1
1651,2,2
1673,3,1
1682,2,2
1687,2,2
1690,1,2
1703,1,1
1707,1,2
1708,1,3
1711,3,3
1715,2,2
1721,3,2
1724,1,1
1728,2,1
1734,4,4
1746,1,1
1747,3,3
1750,5,2
1751,5,2
1758,3,2
1770,3,3
1780,2,2
1785,4,4
1787,3,4
1791,1,1
1805,2,3
1810,3,1
1812,4,1
1814,3,1
1820,4,4
1821,1,1
1822,3,3
1828,5,5
1841,2,2
1855,2,3
1873,3,3
1875,2,1
1877,4,1
1881,4,2
1884,5,3
1891,1,2
1894,1,1
1898,2,2
1902,3,1
1903,2,2
1918,1,2
1922,5,4
1956,1,1
1959,1,1
1961,4,4
1963,3,3
1975,1,1
1981,4,2
1985,1,1
1988,3,1
1996,2,1
2003,4,1
2007,2,3
2009,2,1
2015,2,2
2017,3,2
2023,3,4
2025,3,2
2043,1,1
2048,5,1
2057,4,3
2060,1,1
2061,5,2
2067,3,2
2079,3,4
2080,1,1
2081,4,2
2082,4,2
2086,1,1
2097,1,5
2101,2,2
2105,5,1
2106,4,4
2108,4,3
2116,3,4
2120,4,4
2126,4,3
2136,3,1
2145,5,1
2146,2,2
2152,1,1
2160,1,1
2163,5,5
2166,3,3
2174,5,1
2176,5,1
2185,5,1
2186,4,1
2188,4,2
2190,4,4
2193,1,1
2196,3,1
2197,3,3
2205,2,2
2208,3,3
2210,4,2
2214,1,1
2216,4,1
2217,1,1
2228,3,2
2245,4,1
2254,5,2
2256,5,5
2259,2,2
2264,3,3
2268,3,3
2276,3,2
2278,2,1
2279,1,1
2293,4,1
2296,4,2
2310,4,4
2320,4,2
2321,4,4
2326,4,4
2337,1,3
2347,4,4
2352,3,2
2355,5,1
2357,2,2
2358,5,1
2365,1,1
2367,3,2
2370,2,4
2380,2,1
2382,5,2
2386,4,2
2396,2,1
2397,4,4
2404,4,1
2408,1,1
2414,1,1
2430,3,2
2432,2,1
2443,5,1
2455,1,1
2456,4,3
2461,4,4
2467,1,1
2471,1,1
2474,2,2
2477,2,2
2480,5,5
2483,3,3
2487,3,3
2488,5,4
2491,5,2
2493,1,2
2494,2,2
2507,1,2
2508,4,1
2509,4,1
2510,1,1
2518,2,2
2523,1,2
2533,3,3
2537,2,1
2561,4,5
2562,3,5
2581,3,3
2582,4,2
2590,4,2
2596,4,3
2608,3,2
2612,2,1
2614,3,2
2633,3,2
2638,5,4
2640,2,2
2646,1,1
2652,1,1
2654,1,1
2659,4,4
2666,3,1
2672,1,3
2699,5,5
2708,2,2
2716,4,4
2718,3,3
2728,2,2
2742,2,2
2745,3,3
2751,1,1
2758,4,1
2763,3,3
2767,2,2
2771,2,1
2779,2,3
2782,2,2
2783,1,2
2788,4,4
2793,4,4
2812,1,1
2821,1,1
2824,1,3
2830,1,1
2835,1,4
2841,1,1
2845,1,1
2858,3,3
2859,2,1
2866,3,3
2874,4,2
2891,3,3
2898,4,2
2908,1,1
2917,2,2
2924,4,3
2926,2,1
2931,1,1
2936,5,2
